"","root_name","d","k"
"1","SBR",0.5,0.000133675979105574
"2","SBR",0.75,0.000133918590297307
"3","SBR",0.75,0.000133735272701807
"4","SBR",1.25,0.000133533966573953
"5","SBR",1.5,0.000134758249008305
"6","SBR",1.75,0.000134356552105987
"7","SBR",1.75,0.00013447412499055
"8","SBR",1,0.000134087150462583
"9","SBR",1,0.000132976683124145
"10","SBR",10,0.000148621985581203
"11","SBR",10,0.000148263435915068
"12","SBR",11,0.000139708245947021
"13","SBR",11,0.000139411129152676
"14","SBR",12,0.000144278788073364
"15","SBR",12,0.000144158578858672
"16","SBR",2,0.000135119972580246
"17","SBR",2,0.000135451116190341
"18","SBR",3,0.000134853711851853
"19","SBR",3,0.000135281258674514
"20","SBR",4,0.000140541738171393
"21","SBR",4,0.000140560009422258
"22","SBR",5,0.000141069284521469
"23","SBR",5,0.000140943620294802
"24","SBR",6,0.000142555360530733
"25","SBR",6,0.00014178489818453
"26","SBR",7,0.000142331399104345
"27","SBR",7,0.000142853048170129
"28","SBR",8,0.000147175824781084
"29","SBR",8,0.000147346523387481
"30","SBR",9,0.000147626948231336
"31","SBR",9,0.000148507052425162
"32","SBR",13,5.28436517340678e-05
"33","SBR",14,5.28673674683738e-05
"34","SBR",14,5.27628528198108e-05
"35","SBR",15,5.30483928436885e-05
"36","SBR",15,5.31189344982185e-05
"37","SBR",20,5.08139842681165e-05
"38","SBR",30,5.23762328374034e-05
"39","SBR",30,5.23917065563078e-05
"40","SBR",40,5.67918696047384e-05
"41","SBR",40,5.66879795936913e-05
"42","Tap",0.5,0.000106632019860923
"43","Tap",0.5,0.000106053541960462
"44","Tap",0.75,0.000106320575286152
"45","Tap",0.75,0.000105695804714388
"46","Tap",1.25,0.000106243977621715
"47","Tap",1.25,0.000105822056172195
"48","Tap",1.5,0.000106346827879547
"49","Tap",1.75,0.000106504031389434
"50","Tap",1.75,0.000106354969568275
"51","Tap",1,0.000106091820040484
"52","Tap",1,0.000106380205396673
"53","Tap",2,0.000106431899492355
"54","Tap",2,0.000106094988218926
"55","Tap",3,0.00010638469493007
"56","Tap",4,0.000106398774285848
"57","Tap",4,0.000106515077362869
"58","Tap",5,0.000105867222990573
"59","Tap",5,0.000105653992971094
"60","Tap",7,0.000113565939216522
"61","Tap",8,0.000114267054747494
"62","Tap",8,0.000114313336060597
"63","Tap",10,3.99773830060834e-05
"64","Tap",10,3.99221839106667e-05
"65","Tap",11,3.9956648766906e-05
"66","Tap",11,3.99680421048474e-05
"67","Tap",12,3.98203794015532e-05
"68","Tap",12,3.99507564865428e-05
"69","Tap",13,4.00506424330847e-05
"70","Tap",13,4.00044762579048e-05
"71","Tap",9,3.99546030862344e-05
"72","Tap",9,4.00607636315068e-05
"73","Tap",14,3.68237735930735e-05
"74","Tap",14,3.67062395776226e-05
"75","Tap",15,3.67635906274224e-05
"76","Tap",15,3.67632878452283e-05
"77","Tap",20,3.89211126650661e-05
"78","Tap",20,3.88898786668672e-05
"79","Tap",30,4.10455311857477e-05
"80","Tap",30,4.09966135456013e-05
"81","Tap",40,4.28594760569441e-05
"82","Tap",40,4.29764734213211e-05
"83","Basal",0.5,0.00011196573836153
"84","Basal",0.5,0.000113222733080673
"85","Basal",0.75,0.000113372709970752
"86","Basal",0.75,0.000112582821328017
"87","Basal",1.25,0.000112991172301005
"88","Basal",1.25,0.000112832825836313
"89","Basal",1.5,0.000113285214649047
"90","Basal",1.5,0.000113056657798912
"91","Basal",1.75,0.000113563889901735
"92","Basal",1.75,0.000113313143010506
"93","Basal",1,0.000113534536449402
"94","Basal",1,0.000112960796503378
"95","Basal",10,0.000123130214789535
"96","Basal",10,0.000123470051376077
"97","Basal",2,0.00011384702412357
"98","Basal",2,0.000113426005280777
"99","Basal",3,0.000121296245945733
"100","Basal",3,0.000122058266731754
"101","Basal",4,0.000121434738056682
"102","Basal",4,0.000121946164284396
