"","root_name","d","k"
"1","SBR",0.5,0.00610121084890309
"2","SBR",0.75,0.00595495317379429
"3","SBR",0.75,0.00630247833883191
"4","SBR",1.25,0.00603781321781165
"5","SBR",1.5,0.00631172718713725
"6","SBR",1.75,0.00566367806587685
"7","SBR",1.75,0.00614053041734224
"8","SBR",1,0.0063087676009061
"9","SBR",1,0.00596778042527479
"10","SBR",10,0.00655754353422485
"11","SBR",10,0.0073341604503504
"12","SBR",2,0.0060721634593816
"13","SBR",2,0.00584869314026336
"14","SBR",3,0.00574475897652996
"15","SBR",3,0.00582711188010446
"16","SBR",4,0.00587007838959276
"17","SBR",4,0.0056705115175916
"18","SBR",5,0.00678301977896628
"19","SBR",5,0.00661126857266982
"20","SBR",6,0.00705089745496625
"21","SBR",6,0.00777155393055637
"22","SBR",7,0.00674367404989506
"23","SBR",7,0.00721907017650634
"24","SBR",8,0.00617953377292006
"25","SBR",8,0.00659716776639343
"26","SBR",9,0.00722134018036324
"27","SBR",9,0.00638270070952569
"28","SBR",12,1.41191805214557
"29","SBR",12,1.44354629019842
"30","SBR",13,1.51687143593099
"31","SBR",14,1.60083207606388
"32","SBR",14,1.61361348247414
"33","SBR",15,1.6939438857446
"34","SBR",15,1.68943938266024
"35","SBR",20,2.34489158735256
"36","SBR",30,4.10742597475632
"37","SBR",30,4.08179715887682
"38","SBR",40,6.67327480703827
"39","SBR",40,6.54394604559032
"40","Tap",0.5,0.00138858783594435
"41","Tap",0.5,0.00146881514792934
"42","Tap",0.75,0.00131058555364783
"43","Tap",0.75,0.00151256490870947
"44","Tap",1.25,0.00146400037874138
"45","Tap",1.25,0.00148440397030689
"46","Tap",1.5,0.00137229824465936
"47","Tap",1.75,0.00144983916132485
"48","Tap",1.75,0.00147553800992314
"49","Tap",1,0.00158081983412202
"50","Tap",1,0.00142624921852904
"51","Tap",10,0.0019064241113141
"52","Tap",10,0.00201101520520347
"53","Tap",2,0.00131833226426537
"54","Tap",2,0.00149368582295226
"55","Tap",3,0.00146754520594257
"56","Tap",4,0.00125162293068451
"57","Tap",4,0.0015638602504343
"58","Tap",5,0.00146588070718819
"59","Tap",5,0.00156016010342492
"60","Tap",7,0.00133612567641224
"61","Tap",8,0.00132391783520764
"62","Tap",8,0.00137771807328209
"63","Tap",9,0.00137314641190697
"64","Tap",9,0.00132320616070648
"65","Tap",12,0.158546151752724
"66","Tap",12,0.164231780821324
"67","Tap",13,0.161523881592768
"68","Tap",13,0.165097862345439
"69","Tap",14,0.170901523854589
"70","Tap",14,0.17260571012731
"71","Tap",15,0.168306552518291
"72","Tap",15,0.178948886350302
"73","Tap",20,0.163100668268532
"74","Tap",20,0.160496214100709
"75","Tap",30,0.244902540147814
"76","Tap",30,0.242759547967872
"77","Tap",40,0.336963570736996
"78","Tap",40,0.330150135188717
"79","Basal",0.5,0.00105769428640289
"80","Basal",0.5,0.00102920188135139
"81","Basal",0.75,0.00112788368839706
"82","Basal",0.75,0.00104062014112195
"83","Basal",1.25,0.00110619547487332
"84","Basal",1.25,0.00110148828152487
"85","Basal",1.5,0.00114950742625476
"86","Basal",1.5,0.0010167516651879
"87","Basal",1.75,0.00106675701402018
"88","Basal",1.75,0.00106835090667855
"89","Basal",1,0.00102582600533714
"90","Basal",1,0.00107927879444433
"91","Basal",10,0.000849494104456336
"92","Basal",10,0.000891234679024552
"93","Basal",11,0.000835907888413024
"94","Basal",11,0.000851601995402958
"95","Basal",12,0.000848740316563965
"96","Basal",12,0.000817811959918482
"97","Basal",13,0.000911009348285576
"98","Basal",14,0.000906801340167051
"99","Basal",14,0.000843977063929295
"100","Basal",15,0.000851069288680154
"101","Basal",15,0.000945422954357224
"102","Basal",2,0.00101790954556721
"103","Basal",2,0.000996000631936883
"104","Basal",3,0.0010115054235676
"105","Basal",3,0.000935645797325937
"106","Basal",4,0.00101367807214128
"107","Basal",4,0.000940072983645277
"108","Basal",5,0.00102239825721602
"109","Basal",5,0.000948600149659337
"110","Basal",6,0.000930808136212253
"111","Basal",6,0.000883437110521523
"112","Basal",7,0.00083467634203667
"113","Basal",7,0.000896657954762724
"114","Basal",8,0.000818636937806898
"115","Basal",8,0.000783412662745265
"116","Basal",9,0.000845035488777176
"117","Basal",9,0.000792295599048103
"118","Basal",20,0.109651507613377
"119","Basal",20,0.114657213572586
"120","Basal",30,0.102025168329368
"121","Basal",30,0.100939179077293
"122","Basal",40,0.146482303057272
"123","Basal",40,0.154553792631726
"124","LAT",0.5,1.4715600512576e-05
"125","LAT",0.5,1.50381458969093e-05
"126","LAT",0.75,1.60483194087553e-05
"127","LAT",0.75,1.60185194751919e-05
"128","LAT",1,1.62026599528052e-05
"129","LAT",1,1.53723679994747e-05
"130","LAT",10,0.000764774721784674
"131","LAT",10,0.000757876528849071
"132","LAT",2,0.000775568169936144
"133","LAT",2,0.000776834854214746
"134","LAT",3,0.000757743863622285
"135","LAT",3,0.000778252842592072
"136","LAT",4,0.000771046608756258
"137","LAT",4,0.000778003924904705
"138","LAT",5,0.000766030624459255
"139","LAT",5,0.000764405630081126
"140","LAT",6,0.000774771516672761
"141","LAT",6,0.00077118967094558
"142","LAT",7,0.000768713317030276
"143","LAT",7,0.000767688919630533
"144","LAT",8,0.000763383839264659
"145","LAT",8,0.000743034211415526
"146","LAT",9,0.000777917844030627
"147","LAT",9,0.000778754305336173
"148","LAT_A",0.5,4.05645215917485e-05
"149","LAT_A",0.5,4.89716229417538e-05
"150","LAT_A",0.75,4.69366938368368e-05
"151","LAT_A",0.75,4.57614143141339e-05
"152","LAT_A",1.25,4.77231170002678e-05
"153","LAT_A",1.25,4.97035371169682e-05
"154","LAT_A",1.5,3.71710772653848e-05
"155","LAT_A",1.5,4.22416666278199e-05
"156","LAT_A",1.75,4.10073565514458e-05
"157","LAT_A",1.75,4.47834061180327e-05
"158","LAT_A",1,3.71313788285892e-05
"159","LAT_A",1,3.53234551610421e-05
"160","LAT_A",2,4.49676899316799e-05
"161","LAT_A",2,4.81483800981507e-05
"162","LAT_A",3,4.22690462210699e-05
"163","LAT_A",3,4.21517703137979e-05
"164","LAT_A",4,3.22746980710862e-05
"165","LAT_A",4,4.49140805737799e-05
